,gene_name,gene_length,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,patient_9,patient_10
12829,PACRGL,3231,249.0,607.0,277.0,207.0,528.0,1277.0,381.0,449.0,934.0,456.0
12830,PACRG,1809,2.0,7.0,0.0,4.0,1.0,3.0,1.0,61.0,12.0,0.0
12831,PACS1,6528,5947.0,4833.0,6585.0,9741.0,5558.0,11550.0,8967.0,7163.0,3866.0,2754.0
12832,PACS2,6512,2759.0,3669.0,2418.0,1848.0,4014.0,7046.0,3011.0,4359.06,4123.24,2106.0
12833,PACSIN1,4429,18.0,41.0,43.0,465.0,32.0,199.0,114.0,82.0,4.0,58.0
12834,PACSIN2,2351,5977.0,5241.0,8315.0,1480.0,5078.0,17433.0,25918.0,4348.0,7562.0,9959.0
12835,PACSIN3,2073,1350.0,2884.0,585.0,110.0,1839.0,1490.0,3302.0,4436.0,1979.0,1564.0
12836,PADI1,4014,222.0,1.0,3.0,2.0,26.0,0.0,1.0,32.0,0.0,14.0
12837,PADI2,4595,97.0,571.0,88.0,63.0,46.0,182.0,1148.0,71.0,143.0,1684.0
12838,PADI3,3186,38.0,0.0,1.0,0.0,2.0,0.0,4.0,18.0,0.0,3.0
12839,PADI4,2633,0.0,2.0,1.0,39.0,0.0,3.0,3.0,1.0,1.0,1.0
12840,PADI6,2346,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12841,PAEP,2169,119514.0,4.0,36773.0,2.0,113.0,2.0,14.0,295.0,7.0,10.0
12842,PAF1,2199,4377.0,2910.0,2169.0,2843.0,2979.0,5830.0,2741.0,4775.0,3057.0,3217.0
12843,PAFAH1B1,5613,4895.0,10049.0,7240.0,5133.0,10495.0,21843.0,8156.0,7466.0,8624.0,6137.0
12844,PAFAH1B2,2408,212.0,1238.0,977.0,347.0,1278.0,3361.0,1406.0,933.0,1571.0,616.0
12845,PAFAH1B3,1232,3489.48,1594.91,949.45,593.15,2640.36,3155.7,951.91,42.94,1747.91,1110.99
12846,PAFAH2,3637,957.0,641.0,925.0,626.0,769.0,1872.0,1568.0,929.0,1800.0,789.0
12847,PAG1,10741,2090.0,12608.0,6179.0,3067.0,5006.0,16904.0,5651.0,10535.0,705.0,7518.0
12848,PAGE1,662,22.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
12849,PAGE2B,491,2.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,529.0
12850,PAGE2,480,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3948.0
12851,PAGE3,753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12852,PAGE4,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12853,PAGE5,739,7.0,0.0,3.0,3.0,0.0,1.0,121.0,0.0,0.0,3448.0
12854,PAH,3131,4.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,8.0
12855,PAICS,3666,12614.0,15570.0,6676.0,2630.0,16661.0,48333.0,9722.0,22221.0,13965.0,6798.0
12856,PAIP1,2873,1572.0,3560.0,2276.0,1015.0,2030.0,7030.0,4996.0,1554.0,2426.0,3546.0
12857,PAIP2B,6300,93.0,264.0,59.0,369.16,68.0,331.0,114.0,210.0,108.0,23.0
12858,PAIP2,2447,2240.0,6910.0,1858.0,4817.0,4084.0,9653.0,5810.0,1589.0,2249.0,3869.0
12859,PAK1IP1,1493,611.0,3705.0,721.0,555.0,1567.0,3034.0,1414.0,1739.0,2117.0,2009.0
12860,PAK1,3657,3564.0,2625.0,2993.0,1797.0,823.0,2082.0,3547.0,5248.0,1872.0,1194.0
12861,PAK2,6137,3555.0,11904.0,4677.0,5639.0,3903.0,14403.0,7965.0,6654.0,6133.0,5431.0
12862,PAK3,4006,0.0,22.0,1.0,18.0,0.0,7.0,9.0,11.0,465.0,1.0
12863,PAK4,3064,4913.0,2928.0,1648.0,592.0,3394.0,6041.0,2934.0,12496.0,2713.0,6131.0
12864,PAK6,4852,723.76,32.06,1627.93,29.11,64.18,11.03,135.19,21.01,6.01,803.81
12865,PAK7,4926,0.0,7.0,0.0,0.0,0.0,34.0,0.0,14.0,1.0,0.0
12866,PALB2,4058,764.0,854.0,789.0,554.0,1244.0,1869.0,1145.0,1244.0,1423.0,1062.0
12867,PALLD,7424,187.0,2246.0,1246.95,2721.0,263.0,2258.0,3755.0,3942.0,6415.0,1228.0
12868,PALM2-AKAP2,8556,1117.65,2620.62,3141.19,4222.98,4079.33,2865.08,2583.83,4143.46,4733.2,1367.71
12869,PALM2,9553,108.0,127.53,386.93,9.7,91.44,121.43,56.0,88.4,243.37,6.32
12870,PALM3,2260,88.0,1.0,2.0,8.0,8.0,2.0,15.0,3.0,291.0,0.0
12871,PALMD,2781,28.0,342.0,105.0,326.0,63.0,270.0,161.0,4853.0,130.0,41.0
12872,PALM,3806,45.0,1600.0,38.0,263.0,445.0,2409.0,1115.0,72.0,125.0,102.0
12873,PAMR1,3292,28.0,2904.0,10.0,33.0,5.0,39.0,27.0,83.0,176.0,11.0
12874,PAM,3999,1319.0,1987.0,4022.0,2242.0,2537.0,2155.0,1777.0,1267.0,9682.0,1596.0
12875,PAN2,5140,1463.0,2025.0,731.0,3145.0,1794.0,2369.0,2257.0,4521.0,2709.0,1995.0
12876,PAN3,5986,465.0,4359.0,1054.0,3546.0,3720.0,4933.0,2210.0,1428.0,2216.0,2007.0
12877,PANK1,3655,91.0,774.0,218.0,56.0,210.0,266.0,271.0,244.0,398.0,255.0
12878,PANK2,2630,996.0,2097.0,1097.0,1023.0,1290.0,1886.0,2262.0,1740.0,3675.0,1355.0
12879,PANK3,3359,228.0,2205.0,580.0,306.0,785.0,4491.0,964.0,681.0,786.0,1088.0
12880,PANK4,2642,1488.0,1477.0,1007.0,784.0,1872.0,2204.0,1901.0,2989.0,2187.0,1261.0
12881,PANX1,2766,3902.0,2136.0,1413.0,488.0,2939.0,4372.0,1259.0,1752.0,1648.0,2053.0
12882,PANX2,3102,30.0,4.0,102.0,14.0,172.0,583.0,231.0,26.0,36.0,8.0
12883,PANX3,1597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12884,PAOX,1942,292.0,187.0,207.0,381.0,39.0,323.0,389.0,14.0,172.0,232.0
12885,PAPD4,3523,834.0,3027.0,1152.0,3006.0,1886.0,6625.0,2472.0,1725.0,1599.0,2345.0
12886,PAPD5,8123,464.0,1167.0,473.0,831.0,1270.0,1018.0,920.0,263.0,1097.0,808.0
12887,PAPD7,4087,666.0,1799.0,782.0,1523.0,1314.0,2102.0,2205.0,1536.0,3606.0,1615.0
12888,PAPLN,6194,380.0,260.0,355.0,3941.67,158.0,1806.0,965.0,888.0,431.0,701.0
12889,PAPL,2959,36.0,0.0,0.0,1.0,5.0,1.0,47.0,1.0,7.0,110.0
12890,PAPOLA,5213,5632.0,13997.0,7287.0,7440.0,7460.0,16531.0,8875.0,9154.0,12932.0,6710.0
12891,PAPOLB,4255,0.0,1.0,2.0,1.0,10.0,7.0,2.0,1.0,1.0,0.0
12892,PAPOLG,4290,260.0,936.0,432.0,1032.0,425.0,1341.0,889.0,851.0,1173.0,722.0
12893,PAPPA2,7865,8.0,0.0,1.0,4.0,1.0,5.0,2.0,7.0,295.0,2.0
12894,PAPPA,10969,2.0,92.0,5.0,353.0,8.0,63.0,38.0,26.0,87.0,20.0
12895,PAPSS1,2541,3527.0,8376.0,2037.0,2229.0,4335.0,8490.0,7094.0,9177.0,9294.0,5821.0
12896,PAPSS2,3955,745.0,364.0,402.0,876.0,921.0,577.0,919.0,732.0,421.0,194.0
12897,PAQR3,4776,256.0,748.03,658.0,412.11,926.02,2270.03,1252.06,623.01,1552.22,716.01
12898,PAQR4,2803,5097.57,2242.78,2356.79,282.88,3999.05,3552.47,5367.8,2057.92,3762.71,6239.6
12899,PAQR5,5578,42.0,15.0,27.0,7.0,172.0,16.0,46.0,71.0,23.0,81.0
12900,PAQR6,2240,75.0,61.0,162.0,73.0,110.0,457.0,112.0,39.0,613.0,283.0
12901,PAQR7,3022,963.0,922.0,421.0,539.0,1450.0,1142.0,1249.0,3168.0,1371.0,1202.0
12902,PAQR8,4737,1458.0,5288.0,1326.0,1517.0,3977.0,11618.0,3461.0,8656.0,3162.0,3263.0
12903,PAQR9,3576,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
12904,PAR-SN,4452,104.0,261.99,98.0,438.07,100.0,220.88,354.76,403.0,9.0,128.0
12905,PAR1,2412,1.0,3.0,0.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0
12906,PAR4,2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12907,PAR5,3373,9.0,127.0,15.0,38.0,26.0,77.0,108.0,70.0,2.0,53.0
12908,PARD3B,4001,28.0,239.0,82.0,12.0,99.0,658.0,57.0,58.0,22.0,42.0
12909,PARD3,4283,576.0,2892.0,828.0,157.0,1235.0,2389.0,1419.0,992.0,2633.0,1477.0
12910,PARD6A,1485,471.0,78.0,232.0,242.0,65.0,216.0,151.0,24.0,174.0,221.0
12911,PARD6B,4614,119.0,178.0,57.0,166.0,83.0,275.0,211.0,55.0,273.0,205.0
12912,PARD6G,3860,1115.0,1173.0,522.0,222.0,1442.0,1766.0,926.0,2684.0,661.0,1476.0
12913,PARG,4313,444.0,1634.0,852.0,800.0,1050.0,2434.0,970.0,515.0,1032.0,1148.0
12914,PARK2,4529,3.0,66.0,23.0,57.0,8.0,109.0,17.0,96.0,30.0,1.0
12915,PARK7,3886,18414.0,9276.0,8757.0,8113.0,14286.0,14892.0,16099.0,11455.0,13502.0,7635.0
12916,PARL,1411,4511.0,1626.0,3016.0,1562.0,1355.0,3428.0,2589.0,1899.0,1509.0,1888.0
12917,PARM1,5039,49.0,421.0,313.0,3855.0,25.0,932.0,180.0,131.0,220.0,114.0
12918,PARN,3077,3978.0,2867.0,2788.0,2024.0,3978.0,4905.0,4285.0,3705.0,3235.0,5435.0
12919,PARP10,3641,2370.0,4324.0,2848.0,5161.0,2300.0,6649.0,7525.0,2598.0,2787.0,7849.0
12920,PARP11,4725,141.0,670.0,414.0,725.0,995.0,1514.0,1118.0,637.0,179.0,412.0
12921,PARP12,3947,607.0,2669.0,1499.0,2631.0,2153.0,1145.0,5165.0,105.0,2070.0,1913.0
12922,PARP14,10033,1090.0,13175.0,5386.0,9345.0,3167.0,12437.0,15107.0,1042.0,3668.0,11714.0
12923,PARP15,2990,110.0,101.0,83.0,2410.0,10.0,208.0,234.0,1.0,29.0,32.0
12924,PARP16,2537,474.0,394.0,305.0,759.0,503.0,782.0,1392.0,444.0,395.0,561.0
12925,PARP1,3984,25638.0,30075.0,14017.0,11016.0,12157.0,33789.0,21667.0,32575.0,20627.0,4686.0
12926,PARP2,2247,764.0,1375.0,775.0,608.0,842.0,1533.0,872.0,1959.0,2152.0,926.0
12927,PARP3,2358,864.0,708.0,1297.0,837.0,1356.0,1924.0,1128.0,1690.0,1954.0,1697.0
12928,PARP4,5691,694.0,9081.0,4029.0,3769.0,8356.0,17379.0,9793.0,1697.0,6709.0,6171.0
12929,PARP6,2628,1655.0,1206.0,1010.0,2038.0,3455.0,3034.0,3972.0,1093.0,1592.0,2485.0
12930,PARP8,3120,149.0,1261.0,963.0,2358.0,184.0,3811.0,1048.0,343.0,903.0,199.0
12931,PARP9,7973,1109.0,6202.31,3721.14,2514.08,2542.03,6074.75,10044.47,203.0,2976.0,5179.63
12932,PARS2,2345,355.0,428.0,405.0,104.0,519.0,671.0,604.0,1811.0,579.0,320.0
12933,PART1,4099,5.0,0.0,0.0,0.0,9.0,1.0,0.0,12.0,2.0,0.0
12934,PARVA,6523,5465.0,6823.0,4793.0,942.0,5796.0,12302.0,7438.0,17435.0,4044.0,7885.0
12935,PARVB,2124,14026.0,4522.0,5427.0,1395.0,4386.0,3762.0,6931.0,5578.0,2354.0,4913.0
12936,PARVG,4349,220.0,944.0,955.0,9100.0,265.0,1118.0,2563.0,104.0,500.0,597.0
12937,PASD1,3248,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,25.0
12938,PASK,7675,426.0,1396.0,460.0,2431.0,572.0,1436.0,870.0,1366.0,1399.0,671.0
12939,PATE1,1507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12940,PATE2,1635,2.0,1.0,3.0,1.0,2.0,6.0,0.0,4.0,3.0,0.0
12941,PATE3,1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12942,PATE4,2884,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
12943,PATL1,4477,5412.0,4158.0,5568.0,2107.0,5152.0,9488.0,4654.0,5527.0,3533.0,3033.0
12944,PATL2,2152,7.0,54.0,73.0,542.0,93.0,74.0,790.0,2.0,11.0,86.0
12945,PATZ1,4814,3491.0,4366.0,980.0,2567.0,1723.0,2336.0,2208.0,7571.0,2366.0,2519.0
12946,PAWR,1949,31.0,131.0,219.0,268.0,11.0,388.0,144.0,118.0,424.0,503.0
12947,PAX1,3063,0.0,0.0,0.0,0.0,3.0,30.0,0.0,8.0,15.0,0.0
12948,PAX2,5102,4.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
12949,PAX3,4108,1267.0,5462.0,982.0,5.0,7141.0,18274.0,3083.0,21503.0,2168.0,1837.0
12950,PAX4,2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12951,PAX5,3750,0.0,25.0,14.0,1160.0,0.0,628.0,4.0,0.0,5.0,0.0
12952,PAX6,7930,20.0,88.0,35.0,108.0,64.0,172.0,60.0,104.0,102.0,64.0
12953,PAX7,6311,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12954,PAX8,4527,450.0,269.0,14.0,0.0,21.0,79.0,349.0,346.0,29.0,277.0
12955,PAX9,3337,0.0,13.0,31.0,4.0,5.0,273.0,16.0,647.0,31.0,1.0
12956,PAXIP1,4782,1017.22,2014.77,549.13,517.03,1095.87,1945.6,1368.34,538.99,712.2,1240.07
12957,PBK,2108,1768.0,1008.0,1865.0,89.0,3979.0,2113.0,1892.0,2360.0,2249.0,604.0
12958,PBLD,4730,121.0,228.0,204.0,136.0,242.0,305.0,194.0,47.0,164.0,148.0
12959,PBOV1,2499,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12960,PBRM1,9118,1159.0,9596.0,4718.0,2083.0,4253.0,13076.0,2621.0,8097.0,4162.0,2828.0
12961,PBX1,7278,23.0,1433.0,60.0,640.0,336.0,1875.0,117.0,2605.0,134.0,31.0
12962,PBX2,3480,2865.0,13004.0,1471.0,4782.0,3315.0,6242.0,3565.0,9772.0,4074.0,5620.0
12963,PBX3,3265,154.0,928.0,551.0,855.0,1104.0,1160.0,1097.0,647.0,889.0,494.0
12964,PBX4,1446,45.0,13.0,12.0,184.0,122.0,39.0,123.0,31.0,55.0,22.0
12965,PBXIP1,3718,5298.0,4170.0,3030.0,10647.0,3730.0,11653.0,10165.0,4554.0,5858.0,7131.0
12966,PCA3,3900,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
12967,PCBD1,1006,3460.0,1915.0,1638.0,951.0,941.0,2508.0,1815.0,787.0,496.0,2591.0
12968,PCBD2,7566,200.0,399.0,196.0,499.0,535.0,951.0,440.0,196.0,265.0,345.0
12969,PCBP1,1748,20438.0,21625.0,15613.0,19476.0,19644.0,38617.0,31500.0,32112.0,26230.0,25118.0
12970,PCBP2,5186,21625.81,25417.0,13701.53,19066.18,19904.67,34591.19,25828.13,17195.51,22892.52,23201.88
12971,PCBP3,4002,23.0,5.0,88.0,213.0,9.0,460.0,112.0,15.0,16.0,9.0
12972,PCBP4,3518,3046.0,4475.0,1807.0,830.0,2998.0,10665.0,2716.0,4680.0,11439.0,1642.0
12973,PCCA,2491,787.62,740.57,531.17,293.88,501.25,1380.37,516.44,802.18,393.56,492.81
12974,PCCB,6709,3768.58,3684.39,2548.16,1432.33,1459.0,7139.03,3302.06,3847.28,2656.66,2090.11
12975,PCDH10,5842,19.0,62.0,8.0,1.0,5.0,76.0,2.0,434.0,480.0,2.0
12976,PCDH11X,11583,0.0,1.0,0.0,46.0,0.0,47.0,3.0,11.0,75.0,0.0
12977,PCDH11Y,11648,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
12978,PCDH12,5181,148.0,1030.0,239.0,322.0,64.0,595.0,191.0,534.0,435.0,192.0
12979,PCDH15,13853,0.0,32.0,4.0,25.0,374.0,7.0,0.0,28.0,50.0,119.0
12980,PCDH17,8017,35.0,625.0,182.0,220.0,19.0,441.0,99.0,127.0,355.0,119.0
12981,PCDH18,5921,126.0,1397.0,122.0,111.0,34.0,378.0,296.0,683.0,2752.0,126.0
12982,PCDH19,9748,1.0,14.0,10.0,39.0,2.0,31.0,0.0,163.0,129.0,4.0
12983,PCDH1,5407,235.0,6103.0,227.0,267.0,2989.0,3037.0,2910.0,4386.0,1983.0,904.0
12984,PCDH20,6642,1.0,126.0,22.0,1.0,0.0,4.0,5.0,0.0,12.0,61.0
12985,PCDH7,9166,464.0,11909.0,127.0,233.0,8968.0,18207.0,3969.0,4862.0,1647.0,1893.0
12986,PCDH8,4000,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
12987,PCDH9,7208,13.0,689.0,15.0,150.0,268.0,178.0,145.0,344.0,3300.0,161.0
12988,PCDHA10,5399,3.44,3.01,0.0,59.71,2.0,999.25,27.44,2.44,0.0,2.43
12989,PCDHA11,6156,0.0,37.79,0.0,7.79,0.0,882.47,7.54,1.99,0.0,1.0
12990,PCDHA12,5370,0.0,39.61,0.0,0.0,0.0,114.83,2.26,0.0,0.0,0.0
12991,PCDHA13,5291,2.28,280.18,0.0,35.01,2.0,17.0,10.34,2.24,0.0,0.0
12992,PCDHA1,5434,4.9,50.52,0.0,29.61,0.0,117.62,6.37,0.0,0.0,2.42
12993,PCDHA2,6043,0.0,46.02,2.0,31.23,1.0,54.35,3.0,23.75,19.22,1.0
12994,PCDHA3,5339,1.0,30.0,8.86,11.65,1.0,65.9,4.65,6.0,3.01,3.0
12995,PCDHA4,5362,0.0,5.91,0.0,24.47,10.0,668.25,6.0,2.19,11.4,5.0
12996,PCDHA5,5317,0.0,4.0,1.0,13.5,3.0,816.31,1.0,0.0,2.39,4.0
12997,PCDHA6,5303,3.38,478.58,0.0,38.74,4.57,92.46,3.13,4.84,2.45,2.4
12998,PCDHA7,5234,3.0,326.89,0.0,11.9,11.43,450.49,13.0,2.47,2.53,9.75
12999,PCDHA8,5311,0.0,3.0,0.0,0.0,0.0,40.1,2.32,0.0,0.0,1.0
13000,PCDHA9,9254,0.0,5.49,0.0,0.0,0.0,21.14,1.94,0.0,0.0,0.0
13001,PCDHAC1,5950,0.0,84.11,2.14,145.27,0.0,105.35,0.0,1.0,0.0,0.0
13002,PCDHAC2,5759,0.0,614.89,0.0,315.1,0.0,434.5,5.0,13.08,1.0,1.0
13003,PCDHB10,3262,10.0,411.0,9.0,30.0,161.0,1008.0,34.0,16.0,29.0,25.0
13004,PCDHB11,3435,9.0,186.0,4.0,8.0,47.0,631.0,7.0,12.0,13.0,20.0
13005,PCDHB12,3406,3.0,77.0,10.0,22.0,130.0,578.0,9.0,29.0,61.0,6.0
13006,PCDHB13,3485,17.0,71.0,7.0,28.0,314.0,1073.0,54.0,55.0,44.0,72.0
13007,PCDHB14,2928,22.0,255.0,17.0,43.0,331.0,1395.0,22.0,28.0,86.0,62.0
13008,PCDHB15,2653,78.0,168.0,13.0,103.0,63.0,2072.0,40.0,15.0,46.0,286.0
13009,PCDHB16,4816,18.0,734.0,19.0,61.0,621.0,7401.0,70.0,128.0,164.0,18.0
13010,PCDHB17,2410,0.0,43.0,0.0,0.0,8.0,65.0,1.0,2.0,1.0,1.0
13011,PCDHB18,3164,5.0,173.0,1.0,11.0,16.0,332.0,3.0,9.0,12.0,22.0
13012,PCDHB19P,4622,0.0,79.0,1.0,4.0,11.0,173.0,2.0,2.0,2.0,0.0
13013,PCDHB1,2534,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
13014,PCDHB2,2726,6.0,976.0,6.0,29.0,48.0,3468.0,18.0,187.0,167.0,19.0
13015,PCDHB3,3172,1.0,60.0,5.0,31.0,15.0,153.0,56.0,486.0,1.0,6.0
13016,PCDHB4,3621,8.0,52.0,8.0,57.0,55.0,199.0,22.0,96.0,29.0,13.0
13017,PCDHB5,2904,11.0,2022.0,7.0,23.0,62.0,1708.0,7.0,502.0,6.0,18.0
13018,PCDHB6,3184,13.0,142.0,2.0,37.0,64.0,1492.0,44.0,88.0,6.0,14.0
13019,PCDHB7,3714,7.0,206.0,8.0,40.0,510.0,2233.0,4.0,18.0,21.0,20.0
13020,PCDHB8,2590,1.0,242.0,2.0,14.0,87.0,3065.0,17.0,9.0,53.0,15.0
13021,PCDHB9,4217,8.0,302.0,3.0,18.0,135.0,1826.0,11.0,11.0,37.0,10.0
13022,PCDHGA10,4733,113.0,77.0,20.0,37.0,186.0,67.23,711.98,10.0,74.0,365.97
13023,PCDHGA11,5298,10.88,993.09,81.15,30.06,1420.99,12359.22,56.79,36.0,1089.68,7.0
13024,PCDHGA12,4811,329.53,1399.73,218.2,23.0,9608.37,55.0,181.41,24.63,3267.11,3227.99
13025,PCDHGA1,4652,23.0,75.0,4.0,6.0,33.0,176.0,57.0,3.0,41.0,86.0
13026,PCDHGA2,4836,50.0,123.82,43.13,14.0,287.75,53.0,97.29,26.29,38.0,369.32
13027,PCDHGA3,4669,22.0,1222.63,5.0,12.39,36.0,49.84,852.21,189.81,10.95,646.74
13028,PCDHGA4,4710,69.13,52.0,166.97,50.33,44.0,372.54,113.0,47.4,68.0,145.71
13029,PCDHGA5,4621,10.0,25.0,8.0,14.0,66.0,144.0,20.21,14.2,17.0,10.0
13030,PCDHGA6,4636,8.0,71.73,8.0,27.0,262.59,234.0,50.0,26.0,37.48,35.0
13031,PCDHGA7,4902,40.0,58.0,3.65,20.0,77.0,57.0,250.01,12.0,720.27,214.64
13032,PCDHGA8,5668,4.86,12.0,4.0,11.0,12.0,18.0,35.0,4.67,5.0,23.0
13033,PCDHGA9,4667,11.0,444.7,7.0,47.0,25.0,70.0,33.0,10.0,23.0,181.69
13034,PCDHGB1,4612,67.45,459.96,2.0,11.0,246.0,1049.38,27.0,4.0,31.0,46.0
13035,PCDHGB2,4615,44.5,51.0,4.0,24.0,86.0,229.88,47.0,19.0,718.25,53.3
13036,PCDHGB3,4624,2.0,48.0,2.0,15.0,84.0,162.0,31.0,14.0,12.0,31.0
13037,PCDHGB4,4591,39.0,15.0,19.0,22.32,128.0,55.0,555.63,10.0,13.0,255.0
13038,PCDHGB5,4637,5.0,23.84,294.33,39.0,1013.35,134.73,2659.2,34.0,152.9,653.88
13039,PCDHGB6,4644,5.0,46.0,12.0,41.0,38.0,128.13,73.97,33.0,29.98,268.45
13040,PCDHGB7,4895,8.0,184.12,62.03,84.13,201.46,179.07,155.46,4681.6,37.0,44.43
13041,PCDHGB8P,1972,2.0,6.0,3.0,5.0,23.0,30.0,2.0,4.0,7.0,5.0
13042,PCDHGC3,4975,5738.22,18683.39,1445.54,2014.79,36575.35,34158.74,17050.3,4108.4,10841.68,9053.5
13043,PCDHGC4,4795,3.0,38.0,1.0,6.0,21.0,21.0,22.0,0.0,9.0,1.77
13044,PCDHGC5,4816,11.44,41.0,1.0,9.98,52.14,69.27,39.53,5.0,69.71,10.61
13045,PCDP1,3130,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
13046,PCF11,7543,3229.0,3481.0,1569.0,4327.0,2866.0,5247.0,2763.0,1794.0,2279.0,914.0
13047,PCGEM1,1586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13048,PCGF1,1123,680.0,399.0,401.0,391.0,307.0,1086.0,867.0,761.0,912.0,747.0
13049,PCGF2,2914,2840.68,5376.66,2919.58,490.54,3400.76,6182.6,4058.25,6704.61,4550.22,5139.87
13050,PCGF3,6827,1719.0,3416.0,1389.0,2947.0,5381.0,7437.0,2897.0,4310.0,2754.0,1924.0
13051,PCGF5,7990,2850.0,2662.0,2789.0,2721.0,899.0,4072.0,2461.0,415.0,2788.0,2223.0
13052,PCGF6,2371,238.0,856.0,271.0,328.0,292.0,788.0,360.0,153.0,700.0,408.0
13053,PCID2,3077,898.0,3178.0,1200.0,1626.0,1998.0,4025.0,2532.0,1553.0,1940.0,1527.0
13054,PCIF1,2810,2758.0,3713.0,1420.0,2761.0,6104.0,6051.0,4619.0,8303.0,5423.0,2746.0
13055,PCK1,2679,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0
13056,PCK2,3415,748.0,2928.0,1759.0,1395.0,1162.0,6761.0,2560.0,1396.0,2038.0,2437.0
13057,PCLO,22684,259.0,68.0,266.0,54.0,9.0,296.0,45.0,289.0,503.0,28.0
13058,PCM1,9198,1342.0,7956.0,3726.0,5340.0,7047.0,19426.0,8883.0,4170.0,10118.0,2848.0
13059,PCMT1,2050,2553.0,2494.0,7171.0,1607.0,9889.0,9436.0,5956.0,4690.0,5056.0,3692.0
13060,PCMTD1,4562,753.0,3866.0,1337.0,3165.0,2305.0,3341.0,2954.0,611.0,2418.0,2514.0
13061,PCMTD2,3911,1786.0,7337.0,969.0,3167.0,5998.0,5023.0,4295.0,2520.0,25773.0,1419.0
13062,PCNAP1,1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13063,PCNA,2096,7466.0,13477.0,5288.0,2589.0,9905.0,8431.0,8218.0,7657.0,14095.0,5323.0
13064,PCNP,2237,2709.0,7949.0,4240.0,5218.0,4239.0,8290.0,7384.0,3155.0,6663.0,5794.0
13065,PCNT,10902,486.0,3452.0,1187.0,1234.0,2076.0,4832.0,2732.0,4050.0,3247.0,2478.0
13066,PCNXL2,11025,363.0,93.0,453.0,1084.0,35.0,575.0,568.0,14.0,2596.0,68.0
13067,PCNXL3,7385,2783.0,4660.0,3568.0,2082.0,3809.0,7708.0,3923.0,8203.0,3585.0,1659.0
13068,PCNX,14195,1232.0,3286.0,2292.0,3690.0,2973.0,6895.0,3083.0,2530.0,6727.0,2333.0
13069,PCOLCE2,1909,78.0,59.0,8.0,396.0,330.0,64.0,17.0,2599.0,1428.0,19.0
13070,PCOLCE,2143,1511.97,4813.7,1509.0,3982.88,400.0,2785.97,3971.93,780.98,38386.85,804.98
13071,PCOTH,904,90.86,50.0,145.5,4.78,31.27,247.64,103.68,200.42,57.84,84.62
13072,PCP2,704,3.0,0.0,4.0,15.0,1.0,6.0,31.0,0.0,4.0,25.0
13073,PCP4L1,1423,1.0,0.0,1.0,8.0,1.0,2.0,17.0,9.0,29.0,1.0
13074,PCP4,554,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
13075,PCSK1N,972,10.0,14.0,98.0,6.0,20.0,622.0,2.0,25.0,4.0,0.0
13076,PCSK1,5119,30.0,263.0,4.0,2.0,44.0,12.0,738.0,23.0,356.0,375.0
13077,PCSK2,6908,1443.0,9.0,2774.0,0.0,43.0,372.0,292.0,3347.0,9410.0,552.0
13078,PCSK4,2994,339.0,22.0,211.0,21.0,45.0,130.0,124.0,101.0,8.0,111.0
13079,PCSK5,3783,1.0,63.0,16.0,73.0,2.0,383.0,34.0,508.0,33.0,16.0
13080,PCSK6,7098,159.0,262.0,301.0,386.0,1048.0,128.0,353.0,198.0,51.0,16.0
